# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.71900030e+00
# Aref          : 8.26663469e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	1.52653625e+01	-1.65832709e-03	2.23465846e-03	-4.81935037e-08	-1.17615510e-04	-3.50497221e-04	7.63268119e+00	7.63268128e+00	-1.17966077e-03	-4.78666326e-04	9.99713718e-04	1.23494474e-03
2               	1.38708781e+01	-1.47142385e-03	2.66509261e-03	-2.41428733e-08	-7.32063612e-05	-3.96366728e-04	6.93543904e+00	6.93543909e+00	-1.13207865e-03	-3.39345198e-04	1.25933994e-03	1.40575266e-03
3               	3.63937290e+00	-1.78387302e-04	1.59605198e-03	5.20516224e-08	1.74718002e-04	-7.27023214e-05	1.81968650e+00	1.81968640e+00	-1.61895972e-04	-1.64913294e-05	9.72743990e-04	6.23307986e-04
4               	-6.11018783e+00	3.35972419e-04	-6.91299707e-04	9.29605507e-08	7.51034344e-05	3.34291083e-04	-3.05509382e+00	-3.05509401e+00	5.02277293e-04	-1.66304874e-04	-2.70546419e-04	-4.20753288e-04
5               	-8.62440554e+00	1.43300212e-04	-1.86481578e-03	4.25732599e-08	-5.23569680e-06	4.16579242e-04	-4.31220273e+00	-4.31220281e+00	4.88229348e-04	-3.44929136e-04	-9.37643586e-04	-9.27172193e-04
6               	-4.30147430e+00	-6.56963577e-04	-1.90100721e-03	8.20036725e-08	-2.18818924e-04	2.89955907e-04	-2.15073707e+00	-2.15073723e+00	-3.85258815e-05	-6.18437695e-04	-1.16932253e-03	-7.31684681e-04
7               	1.66921507e+00	-1.02625571e-03	-1.34376987e-03	1.72825832e-07	-4.24690066e-04	4.91172109e-05	8.34607710e-01	8.34607364e-01	-4.64010647e-04	-5.62245068e-04	-1.09657500e-03	-2.47194872e-04
8               	4.75255145e+00	-1.08771260e-03	6.64664902e-04	1.76018504e-07	-3.17660700e-05	-8.96553870e-06	2.37627590e+00	2.37627555e+00	-5.52821840e-04	-5.34890762e-04	3.00566381e-04	3.64098521e-04
9               	3.76805175e+00	2.56369796e-04	2.05417644e-03	1.56403262e-07	3.83294693e-04	-2.04947488e-04	1.88402603e+00	1.88402572e+00	-7.67625905e-05	3.33132386e-04	1.41038291e-03	6.43793527e-04
10              	7.41640400e-01	1.00660217e-03	2.19863544e-03	3.52504434e-07	5.80444137e-04	-1.73564348e-04	3.70820553e-01	3.70819848e-01	3.29736738e-04	6.76865434e-04	1.67976186e-03	5.18873585e-04
11              	-1.62349576e+00	1.21074137e-03	4.56243426e-04	3.50542142e-07	2.21334875e-04	-1.57786234e-04	-8.11747529e-01	-8.11748230e-01	4.47584448e-04	7.63156917e-04	4.49456588e-04	6.78683788e-06
12              	-1.98592187e+00	3.04012097e-04	-1.06375634e-03	2.64081179e-07	-2.35372564e-04	-2.06207790e-07	-9.92960670e-01	-9.92961198e-01	1.51799840e-04	1.52212256e-04	-7.67250734e-04	-2.96505605e-04
13              	-7.33053293e-01	-7.96238565e-04	-1.89542079e-03	2.65695420e-07	-5.07254134e-04	1.55642116e-04	-3.66526381e-01	-3.66526912e-01	-2.42477167e-04	-5.53761398e-04	-1.45496453e-03	-4.40456260e-04
14              	7.36597229e-01	-9.80943765e-04	-1.39426596e-03	2.69849093e-07	-4.26953716e-04	1.52023074e-04	3.68298884e-01	3.68298345e-01	-3.38448808e-04	-6.42494957e-04	-1.12408670e-03	-2.70179264e-04
15              	1.35678004e+00	-2.40762265e-04	-5.01011987e-04	2.90240272e-07	-1.94925016e-04	3.81042228e-06	6.78390312e-01	6.78389731e-01	-1.16570710e-04	-1.24191555e-04	-4.45431010e-04	-5.55809770e-05
16              	1.00414871e+00	6.19226813e-04	1.32303074e-04	2.20670654e-07	2.16361013e-05	-1.24765093e-04	5.02074575e-01	5.02074133e-01	1.84848314e-04	4.34378499e-04	8.77876381e-05	4.45154356e-05
17              	2.50529225e-01	9.39711512e-04	2.83533202e-05	1.54326047e-07	3.91392459e-05	-1.50500495e-04	1.25264767e-01	1.25264458e-01	3.19355261e-04	6.20356251e-04	5.33159060e-05	-2.49625858e-05
18              	-2.61394341e-01	6.75398821e-04	-4.05064141e-04	9.86466197e-08	-8.12201619e-05	-1.11065029e-04	-1.30697072e-01	-1.30697269e-01	2.26634382e-04	4.48764440e-04	-2.83752233e-04	-1.21311909e-04
19              	-2.73825479e-01	1.01857799e-04	-8.43397432e-04	3.64662570e-08	-2.46355342e-04	-3.84658113e-05	-1.36912703e-01	-1.36912776e-01	1.24630884e-05	8.93947110e-05	-6.68054057e-04	-1.75343374e-04
20              	4.61496611e-02	-3.45407044e-04	-9.34386657e-04	-1.84841557e-08	-3.11470759e-04	2.48233431e-05	2.30748121e-02	2.30748490e-02	-1.47880179e-04	-1.97526865e-04	-7.78664087e-04	-1.55722569e-04
21              	3.67119639e-01	-3.67727819e-04	-6.07850250e-04	-7.50895103e-08	-2.17170732e-04	3.76143070e-05	1.83559744e-01	1.83559894e-01	-1.46249602e-04	-2.21478216e-04	-5.21095857e-04	-8.67543931e-05
22              	4.70386329e-01	-2.44831679e-05	-2.79907457e-04	-1.21083025e-07	-9.15382862e-05	-4.36979752e-06	2.35193043e-01	2.35193286e-01	-1.66113815e-05	-7.87178642e-06	-2.31492015e-04	-4.84154424e-05
23              	3.60042765e-01	3.76502973e-04	-2.56579374e-04	-1.50944000e-07	-4.69761226e-05	-5.62950369e-05	1.80021232e-01	1.80021534e-01	1.31956450e-04	2.44546524e-04	-1.75265810e-04	-8.13135644e-05
24              	1.82585230e-01	5.45028960e-04	-4.88270342e-04	-1.67308059e-07	-1.06694215e-04	-7.23547213e-05	9.12924477e-02	9.12927823e-02	2.00159759e-04	3.44869201e-04	-3.50829386e-04	-1.37440956e-04
25              	8.09125042e-02	4.02280962e-04	-7.87204274e-04	-1.77919609e-07	-2.15195996e-04	-5.12981581e-05	4.04560742e-02	4.04564300e-02	1.49842323e-04	2.52438639e-04	-6.08798133e-04	-1.78406141e-04
26              	9.57073288e-02	1.06198138e-04	-8.69438362e-04	-1.89273674e-07	-2.73416527e-04	-1.56199589e-05	4.78534751e-02	4.78538537e-02	3.74791103e-05	6.87190281e-05	-7.08135708e-04	-1.61302654e-04
27              	1.75108170e-01	-1.04010200e-04	-6.74343797e-04	-1.96254822e-07	-2.38009070e-04	7.70488768e-06	8.75538889e-02	8.75542814e-02	-4.43002122e-05	-5.97099875e-05	-5.75180969e-04	-9.91628288e-05
28              	2.42559896e-01	-1.06851644e-04	-3.72158508e-04	-1.97591768e-07	-1.49680430e-04	4.23059280e-06	1.21279750e-01	1.21280146e-01	-4.91952293e-05	-5.76564149e-05	-3.35759684e-04	-3.63988235e-05
29              	2.56015628e-01	3.53739474e-05	-2.17028061e-04	-1.93001832e-07	-9.05007132e-05	-1.58450920e-05	1.28007621e-01	1.28008007e-01	1.84188173e-06	3.35320657e-05	-1.99014744e-04	-1.80133174e-05
30              	2.23983047e-01	1.82495479e-04	-3.38679965e-04	-1.85574339e-07	-1.12321561e-04	-3.07975654e-05	1.11991338e-01	1.11991709e-01	6.04501742e-05	1.22045305e-04	-2.81661543e-04	-5.70184219e-05
31              	1.82727362e-01	2.18782017e-04	-6.16733819e-04	-1.80388128e-07	-1.89044590e-04	-2.26973347e-05	9.13635004e-02	9.13638612e-02	8.66936739e-05	1.32088343e-04	-4.97411500e-04	-1.19322320e-04
32              	1.62425542e-01	1.41391112e-04	-7.92894244e-04	-1.76841759e-07	-2.46076248e-04	3.84271701e-06	8.12125942e-02	8.12129479e-02	7.45382729e-05	6.68528389e-05	-6.42523369e-04	-1.50370874e-04
33              	1.69123298e-01	3.24908228e-05	-7.07483309e-04	-1.69780814e-07	-2.31207287e-04	2.64009262e-05	8.45614792e-02	8.45618187e-02	4.26463376e-05	-1.01555149e-05	-5.84948942e-04	-1.22534367e-04
34              	1.89170462e-01	-3.56474235e-05	-4.46127088e-04	-1.58587241e-07	-1.61471931e-04	3.31262753e-05	9.45850724e-02	9.45853896e-02	1.53025636e-05	-5.09499870e-05	-3.84535476e-04	-6.15916129e-05
35              	2.04538131e-01	-2.38214898e-05	-1.88808411e-04	-1.39595203e-07	-8.31270929e-05	2.42383727e-05	1.02268926e-01	1.02269205e-01	1.23276278e-05	-3.61491176e-05	-1.77531299e-04	-1.12771127e-05
36              	2.06401084e-01	3.34807826e-05	-8.47865431e-05	-1.14732442e-07	-4.13334987e-05	1.14038559e-05	1.03200427e-01	1.03200657e-01	2.81442472e-05	5.33653543e-06	-8.37267703e-05	-1.05977278e-06
37              	1.97615111e-01	7.79970994e-05	-1.33933986e-04	-8.64895979e-08	-3.97731780e-05	7.73076661e-06	9.88074689e-02	9.88076418e-02	4.67293163e-05	3.12677831e-05	-1.06740171e-04	-2.71938152e-05
38              	1.86865578e-01	7.26776835e-05	-1.89736843e-04	-5.78524572e-08	-3.94886368e-05	1.75776408e-05	9.34327311e-02	9.34328468e-02	5.39164825e-05	1.87612010e-05	-1.34357058e-04	-5.53797846e-05
39              	1.81070776e-01	3.07275436e-05	-1.09229220e-04	-2.97265853e-08	3.19482301e-07	3.54218817e-05	9.05353582e-02	9.05354177e-02	5.07856535e-05	-2.00581099e-05	-5.42951275e-05	-5.49340921e-05
40              	1.81681478e-01	-1.02644768e-05	1.26481443e-04	-4.85791434e-09	8.71097178e-05	5.08368552e-05	9.08407343e-02	9.08407440e-02	4.57046168e-05	-5.59690936e-05	1.50350439e-04	-2.38689965e-05
41              	1.85624181e-01	-2.83067811e-05	4.37003563e-04	1.45501211e-08	1.98390857e-04	5.67924443e-05	9.28121050e-02	9.28120759e-02	4.26390538e-05	-7.09458349e-05	4.16892639e-04	2.01109246e-05
42              	1.88851715e-01	-2.91915132e-05	7.09339901e-04	3.00427773e-08	3.00403888e-04	5.59513291e-05	9.44258876e-02	9.44258276e-02	4.13555725e-05	-7.05470858e-05	6.55073839e-04	5.42660624e-05
43              	1.89229907e-01	-3.04547867e-05	8.76498821e-04	4.27176871e-08	3.71992519e-04	5.52372011e-05	9.46149961e-02	9.46149107e-02	4.00098077e-05	-7.04645945e-05	8.10241929e-04	6.62568916e-05
44              	1.87197734e-01	-4.45705499e-05	9.64260886e-04	5.13746288e-08	4.17394386e-04	5.92467566e-05	9.35989184e-02	9.35988156e-02	3.69614816e-05	-8.15320315e-05	8.99524829e-04	6.47360569e-05
45              	1.84614688e-01	-6.74065880e-05	1.03480149e-03	5.67481223e-08	4.54894427e-04	6.83226912e-05	9.23074008e-02	9.23072873e-02	3.46193972e-05	-1.02025985e-04	9.72295173e-04	6.25063187e-05
46              	1.83097197e-01	-9.09074300e-05	1.13172081e-03	6.32630331e-08	4.96932699e-04	7.84239542e-05	9.15486618e-02	9.15485352e-02	3.29702391e-05	-1.23877669e-04	1.06279311e-03	6.89277075e-05
47              	1.83097537e-01	-1.00949143e-04	1.24277084e-03	6.83807928e-08	5.41404030e-04	8.48736805e-05	9.15488367e-02	9.15486999e-02	3.43991088e-05	-1.35348252e-04	1.16278945e-03	7.99813901e-05
48              	1.84069760e-01	-9.93229455e-05	1.32817929e-03	7.34562616e-08	5.76352738e-04	8.57389305e-05	9.20349533e-02	9.20348064e-02	3.60774577e-05	-1.35400403e-04	1.24044239e-03	8.77369094e-05
49              	1.85266994e-01	-9.37210755e-05	1.35779702e-03	7.86049398e-08	5.92110741e-04	8.29829522e-05	9.26335755e-02	9.26334183e-02	3.61224145e-05	-1.29843490e-04	1.27100925e-03	8.67877706e-05
50              	1.86273058e-01	-9.07446865e-05	1.33018851e-03	8.37142711e-08	5.88076762e-04	7.95658964e-05	9.31366129e-02	9.31364455e-02	3.41935531e-05	-1.24938240e-04	1.25317102e-03	7.70174936e-05
51              	1.87143959e-01	-8.74162020e-05	1.26375732e-03	9.05401946e-08	5.70339846e-04	7.87173123e-05	9.35720701e-02	9.35718890e-02	3.50092113e-05	-1.22425413e-04	1.20221851e-03	6.15388130e-05
52              	1.88101731e-01	-8.12593594e-05	1.17982396e-03	9.83308311e-08	5.44172547e-04	7.96761912e-05	9.40509638e-02	9.40507672e-02	3.90465115e-05	-1.20305871e-04	1.13408453e-03	4.57394356e-05
