# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.71900030e+00
# Aref          : 3.51160410e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	3.59360484e+00	-3.90385246e-04	5.26058878e-04	-1.13451881e-08	-2.76877583e-05	-8.25102264e-05	1.79680241e+00	1.79680243e+00	-2.77702849e-04	-1.12682396e-04	2.35341681e-04	2.90717197e-04
2               	3.26533058e+00	-3.46386526e-04	6.27386983e-04	-5.68345144e-09	-1.72334417e-05	-9.33083243e-05	1.63266528e+00	1.63266529e+00	-2.66501587e-04	-7.98849388e-05	2.96460050e-04	3.30926933e-04
3               	8.56741405e-01	-4.19939895e-05	3.75725118e-04	1.22534242e-08	4.11302031e-05	-1.71147862e-05	4.28370715e-01	4.28370690e-01	-3.81117809e-05	-3.88220859e-06	2.28992762e-04	1.46732356e-04
4               	-1.43839366e+00	7.90909560e-05	-1.62738224e-04	2.18837572e-08	1.76800300e-05	7.86951544e-05	-7.19196807e-01	-7.19196851e-01	1.18240632e-04	-3.91496764e-05	-6.36890820e-05	-9.90491419e-05
5               	-2.03026332e+00	3.37341702e-05	-4.38994556e-04	1.00221317e-08	-1.23253054e-06	9.80665335e-05	-1.01513165e+00	-1.01513167e+00	1.14933619e-04	-8.11994484e-05	-2.20729808e-04	-2.18264747e-04
6               	-1.01260608e+00	-1.54655187e-04	-4.47514347e-04	1.93044086e-08	-5.15119603e-05	6.82582516e-05	-5.06303021e-01	-5.06303060e-01	-9.06934208e-06	-1.45585845e-04	-2.75269134e-04	-1.72245213e-04
7               	3.92948375e-01	-2.41589908e-04	-3.16335622e-04	4.06847691e-08	-9.99758951e-05	1.15626371e-05	1.96474228e-01	1.96474147e-01	-1.09232317e-04	-1.32357591e-04	-2.58143706e-04	-5.81919158e-05
8               	1.11879374e+00	-2.56057416e-04	1.56468149e-04	4.14363530e-08	-7.47802113e-06	-2.11056916e-06	5.59396910e-01	5.59396827e-01	-1.30139277e-04	-1.25918139e-04	7.07560535e-05	8.57120957e-05
9               	8.87033573e-01	6.03517762e-05	4.83571774e-04	3.68187471e-08	9.02310488e-05	-4.82464985e-05	4.43516823e-01	4.43516750e-01	-1.80706104e-05	7.84223866e-05	3.32016936e-04	1.51554838e-04
10              	1.74588880e-01	2.36963285e-04	5.17578734e-04	8.29827424e-08	1.36641817e-04	-4.08586224e-05	8.72945229e-02	8.72943570e-02	7.76230202e-05	1.59340265e-04	3.95431184e-04	1.22147550e-04
11              	-3.82185633e-01	2.85019504e-04	1.07403843e-04	8.25208012e-08	5.21042380e-05	-3.71443113e-05	-1.91092734e-01	-1.91092899e-01	1.05365441e-04	1.79654063e-04	1.05806159e-04	1.59768322e-06
12              	-4.67504028e-01	7.15672061e-05	-2.50417895e-04	6.21671059e-08	-5.54088374e-05	-4.85431848e-08	-2.33751952e-01	-2.33752076e-01	3.57350599e-05	3.58321463e-05	-1.80617785e-04	-6.98001099e-05
13              	-1.72567397e-01	-1.87441783e-04	-4.46199252e-04	6.25471129e-08	-1.19412226e-04	3.66395664e-05	-8.62836359e-02	-8.62837610e-02	-5.70813253e-05	-1.30360458e-04	-3.42511852e-04	-1.03687400e-04
14              	1.73401672e-01	-2.30923063e-04	-3.28222858e-04	6.35249252e-08	-1.00508779e-04	3.57876112e-05	8.67008993e-02	8.67007723e-02	-7.96739206e-05	-1.51249143e-04	-2.64620208e-04	-6.36026503e-05
15              	3.19398334e-01	-5.66776219e-05	-1.17942768e-04	6.83251937e-08	-4.58871176e-05	8.97007981e-07	1.59699235e-01	1.59699098e-01	-2.74418030e-05	-2.92358189e-05	-1.04858502e-04	-1.30842663e-05
16              	2.36385718e-01	1.45771611e-04	3.11453441e-05	5.19478743e-08	5.09333456e-06	-2.93708349e-05	1.18192911e-01	1.18192807e-01	4.35149704e-05	1.02256640e-04	2.06660066e-05	1.04793375e-05
17              	5.89768529e-02	2.21216617e-04	6.67462886e-06	3.63297519e-08	9.21373364e-06	-3.54291821e-05	2.94884628e-02	2.94883901e-02	7.51791263e-05	1.46037491e-04	1.25510481e-05	-5.87641921e-06
18              	-6.15345998e-02	1.58995011e-04	-9.53557745e-05	2.32223094e-08	-1.91199631e-05	-2.61457156e-05	-3.07672767e-02	-3.07673231e-02	5.33517900e-05	1.05643221e-04	-6.67978503e-05	-2.85579241e-05
19              	-6.44610025e-02	2.39782503e-05	-1.98543408e-04	8.58448779e-09	-5.79942829e-05	-9.05520102e-06	-3.22304927e-02	-3.22305099e-02	2.93392411e-06	2.10443261e-05	-1.57265987e-04	-4.12774213e-05
20              	1.08640490e-02	-8.13119525e-05	-2.19963098e-04	-4.35133797e-09	-7.33230430e-05	5.84364021e-06	5.43202014e-03	5.43202884e-03	-3.48123360e-05	-4.64996165e-05	-1.83304592e-04	-3.66585058e-05
21              	8.64232942e-02	-8.65664654e-05	-1.43093464e-04	-1.76767521e-08	-5.11239609e-05	8.85474918e-06	4.32116294e-02	4.32116648e-02	-3.44284835e-05	-5.21379819e-05	-1.22670693e-04	-2.04227713e-05
22              	1.10733210e-01	-5.76355988e-06	-6.58927553e-05	-2.85040428e-08	-2.15489432e-05	-1.02868999e-06	5.53665766e-02	5.53666336e-02	-3.91046993e-06	-1.85308995e-06	-5.44953209e-05	-1.13974345e-05
23              	8.47573340e-02	8.86322163e-05	-6.04011129e-05	-3.55335873e-08	-1.10586055e-05	-1.32523625e-05	4.23786315e-02	4.23787025e-02	3.10637456e-05	5.75684707e-05	-4.12591619e-05	-1.91419509e-05
24              	4.29822199e-02	1.28304763e-04	-1.14943269e-04	-3.93858353e-08	-2.51167863e-05	-1.70329580e-05	2.14910706e-02	2.14911494e-02	4.71194235e-05	8.11853394e-05	-8.25884209e-05	-3.23548483e-05
25              	1.90475377e-02	9.47005887e-05	-1.85315029e-04	-4.18838904e-08	-5.06590902e-05	-1.20760519e-05	9.52372697e-03	9.52381073e-03	3.52742424e-05	5.94263462e-05	-1.43316605e-04	-4.19984244e-05
