# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(6.48001953e+03 9.48593948e-01 7.03946073e-01)	(6.44129887e+03 9.48508708e-01 7.03869471e-01)	(3.87206604e+01 8.52395552e-05 7.66019894e-05)
2               	(5.88807252e+03 1.13130967e+00 6.24607199e-01)	(5.85284434e+03 1.12955989e+00 6.24396243e-01)	(3.52281835e+01 1.74978082e-03 2.10955768e-04)
3               	(1.54488356e+03 6.77510803e-01 7.57239274e-02)	(1.51323604e+03 6.75206125e-01 7.48893580e-02)	(3.16475164e+01 2.30467705e-03 8.34569456e-04)
4               	(-2.59372396e+03 -2.93450982e-01 -1.42617500e-01)	(-2.62441140e+03 -2.94076567e-01 -1.43997635e-01)	(3.06874326e+01 6.25585465e-04 1.38013442e-03)
5               	(-3.66098849e+03 -7.91598804e-01 -6.08297494e-02)	(-3.69289520e+03 -7.92627745e-01 -6.06597315e-02)	(3.19067038e+01 1.02894082e-03 -1.70017966e-04)
6               	(-1.82594010e+03 -8.06961766e-01 2.78875580e-01)	(-1.85960043e+03 -8.04817761e-01 2.79167979e-01)	(3.36603278e+01 -2.14400499e-03 -2.92399461e-04)
7               	(7.08567930e+02 -5.70419147e-01 4.35637024e-01)	(6.73964545e+02 -5.71085492e-01 4.34171488e-01)	(3.46033849e+01 6.66345509e-04 1.46553645e-03)
8               	(2.01741860e+03 2.82144729e-01 4.61724962e-01)	(1.98309630e+03 2.81446258e-01 4.61234888e-01)	(3.43223085e+01 6.98471005e-04 4.90073968e-04)
9               	(1.59950666e+03 8.71980831e-01 -1.08826848e-01)	(1.56618905e+03 8.68683249e-01 -1.09522572e-01)	(3.33176073e+01 3.29758250e-03 6.95724158e-04)
10              	(3.14820188e+02 9.33302478e-01 -4.27294258e-01)	(2.82724983e+02 9.29053803e-01 -4.28229312e-01)	(3.20952048e+01 4.24867498e-03 9.35053131e-04)
11              	(-6.89160460e+02 1.93671544e-01 -5.13949650e-01)	(-7.20327748e+02 1.96622033e-01 -5.15992196e-01)	(3.11672880e+01 -2.95048944e-03 2.04254632e-03)
12              	(-8.43007332e+02 -4.51555727e-01 -1.29050609e-01)	(-8.73745879e+02 -4.41951812e-01 -1.30118409e-01)	(3.07385469e+01 -9.60391497e-03 1.06779965e-03)
13              	(-3.11175032e+02 -8.04590376e-01 3.37996655e-01)	(-3.41795225e+02 -8.06268199e-01 3.40443771e-01)	(3.06201932e+01 1.67782303e-03 -2.44711603e-03)
14              	(3.12679404e+02 -5.91854315e-01 4.16402478e-01)	(2.82166241e+02 -5.95857966e-01 4.18526770e-01)	(3.05131622e+01 4.00365102e-03 -2.12429167e-03)
15              	(5.75941855e+02 -2.12675426e-01 1.02201581e-01)	(5.45689049e+02 -2.19591369e-01 1.05236933e-01)	(3.02528058e+01 6.91594374e-03 -3.03535223e-03)
16              	(4.26252784e+02 5.61615555e-02 -2.62856637e-01)	(3.96431444e+02 4.79841028e-02 -2.59154625e-01)	(2.98213397e+01 8.17745276e-03 -3.70201215e-03)
17              	(1.06347575e+02 1.20357489e-02 -3.98899729e-01)	(7.70397797e+01 4.89519709e-03 -3.95354374e-01)	(2.93077949e+01 7.14055176e-03 -3.54535483e-03)
18              	(-1.10959726e+02 -1.71946362e-01 -2.86701188e-01)	(-1.39771609e+02 -1.78532259e-01 -2.83370099e-01)	(2.88118834e+01 6.58589622e-03 -3.33108957e-03)
19              	(-1.16236641e+02 -3.58015202e-01 -4.32377896e-02)	(-1.44633268e+02 -3.62880313e-01 -4.00535006e-02)	(2.83966270e+01 4.86511040e-03 -3.18428896e-03)
20              	(1.95901477e+01 -3.96639372e-01 1.46622421e-01)	(-8.46252598e+00 -3.99505449e-01 1.49929575e-01)	(2.80526737e+01 2.86607631e-03 -3.30715458e-03)
21              	(1.55839236e+02 -2.58027381e-01 1.56097404e-01)	(1.28102356e+02 -2.59727481e-01 1.59551832e-01)	(2.77368801e+01 1.70010079e-03 -3.45442774e-03)
22              	(1.99675088e+02 -1.18818390e-01 1.03929013e-02)	(1.72269919e+02 -1.20260393e-01 1.42456061e-02)	(2.74051698e+01 1.44200259e-03 -3.85270472e-03)
23              	(1.52835162e+02 -1.08915812e-01 -1.59822384e-01)	(1.25795350e+02 -1.10461776e-01 -1.55468609e-01)	(2.70398125e+01 1.54596324e-03 -4.35377449e-03)
24              	(7.75059131e+01 -2.07266703e-01 -2.31360265e-01)	(5.08493842e+01 -2.08790556e-01 -2.26667793e-01)	(2.66565290e+01 1.52385299e-03 -4.69247166e-03)
25              	(3.43466858e+01 -3.34161674e-01 -1.70764926e-01)	(8.05530716e+00 -3.35449914e-01 -1.65844560e-01)	(2.62913786e+01 1.28824052e-03 -4.92036571e-03)
26              	(4.06269659e+01 -3.69069361e-01 -4.50802274e-02)	(1.46721127e+01 -3.69708107e-01 -4.01282680e-02)	(2.59548532e+01 6.38745962e-04 -4.95195939e-03)
27              	(7.43319634e+01 -2.86253339e-01 4.41514656e-02)	(4.86877116e+01 -2.85897341e-01 4.89955746e-02)	(2.56442518e+01 -3.55997670e-04 -4.84410895e-03)
28              	(1.02964660e+02 -1.57978194e-01 4.53576352e-02)	(7.76189843e+01 -1.56404992e-01 5.00674818e-02)	(2.53456762e+01 -1.57320259e-03 -4.70984662e-03)
29              	(1.08676507e+02 -9.21266088e-02 -1.50159468e-02)	(8.36302040e+01 -8.91880401e-02 -1.03937506e-02)	(2.50463029e+01 -2.93856872e-03 -4.62219614e-03)
30              	(9.50789423e+01 -1.43766831e-01 -7.74678146e-02)	(7.03360482e+01 -1.39391924e-01 -7.28570877e-02)	(2.47428941e+01 -4.37490743e-03 -4.61072694e-03)
31              	(7.75662468e+01 -2.61798382e-01 -9.28711485e-02)	(5.31245562e+01 -2.55952617e-01 -8.82759879e-02)	(2.44416905e+01 -5.84576548e-03 -4.59516065e-03)
32              	(6.89482931e+01 -3.36577019e-01 -6.00193522e-02)	(4.47968356e+01 -3.29206369e-01 -5.54823011e-02)	(2.41514575e+01 -7.37064937e-03 -4.53705109e-03)
33              	(7.17914348e+01 -3.00320786e-01 -1.37920843e-02)	(4.79156234e+01 -2.91365474e-01 -9.34128558e-03)	(2.38758114e+01 -8.95531185e-03 -4.45079874e-03)
34              	(8.03012894e+01 -1.89377242e-01 1.51320351e-02)	(5.66877258e+01 -1.78873096e-01 1.94693277e-02)	(2.36135636e+01 -1.05041466e-02 -4.33729265e-03)
35              	(8.68247373e+01 -8.01476019e-02 1.01120245e-02)	(6.34642727e+01 -6.82965322e-02 1.43151484e-02)	(2.33604646e+01 -1.18510696e-02 -4.20312396e-03)
36              	(8.76155454e+01 -3.59911831e-02 -1.42123140e-02)	(6.45027350e+01 -2.31585522e-02 -1.01990599e-02)	(2.31128104e+01 -1.28326308e-02 -4.01325411e-03)
37              	(8.38859726e+01 -5.68538644e-02 -3.31091207e-02)	(6.10160907e+01 -4.34457897e-02 -2.93047168e-02)	(2.28698819e+01 -1.34080747e-02 -3.80440390e-03)
38              	(7.93228852e+01 -8.05417133e-02 -3.08510728e-02)	(5.66897483e+01 -6.69628305e-02 -2.72745225e-02)	(2.26331369e+01 -1.35788827e-02 -3.57655026e-03)
39              	(7.68630399e+01 -4.63668962e-02 -1.30435869e-02)	(5.44585955e+01 -3.30077737e-02 -9.69793675e-03)	(2.24044444e+01 -1.33591225e-02 -3.34565020e-03)
40              	(7.71222780e+01 5.36903215e-02 4.35718510e-03)	(5.49379409e+01 6.64642900e-02 7.45820509e-03)	(2.21843371e+01 -1.27739685e-02 -3.10101999e-03)
41              	(7.87959225e+01 1.85504382e-01 1.20159934e-02)	(5.68239123e+01 1.97410845e-01 1.48710860e-02)	(2.19720102e+01 -1.19064635e-02 -2.85509258e-03)
42              	(8.01659840e+01 3.01108895e-01 1.23915548e-02)	(5.84000072e+01 3.11952892e-01 1.50241848e-02)	(2.17659768e+01 -1.08439971e-02 -2.63262998e-03)
43              	(8.03265232e+01 3.72066467e-01 1.29278039e-02)	(5.87615776e+01 3.81780169e-01 1.53730064e-02)	(2.15649456e+01 -9.71370199e-03 -2.44520248e-03)
44              	(7.94638827e+01 4.09320734e-01 1.89198281e-02)	(5.80956765e+01 4.17997784e-01 2.12371507e-02)	(2.13682062e+01 -8.67704971e-03 -2.31732258e-03)
45              	(7.83674012e+01 4.39264635e-01 2.86135366e-02)	(5.71913981e+01 4.47105774e-01 3.08633689e-02)	(2.11760032e+01 -7.84113876e-03 -2.24983236e-03)
46              	(7.77232388e+01 4.80406082e-01 3.85894487e-02)	(5.67345254e+01 4.87683477e-01 4.08369042e-02)	(2.09887134e+01 -7.27739507e-03 -2.24745550e-03)
47              	(7.77233830e+01 5.27545896e-01 4.28520726e-02)	(5.69166690e+01 5.34574349e-01 4.51440068e-02)	(2.08067140e+01 -7.02845328e-03 -2.29193415e-03)
48              	(7.81360836e+01 5.63801075e-01 4.21617651e-02)	(5.75061763e+01 5.70891407e-01 4.45347664e-02)	(2.06299074e+01 -7.09033159e-03 -2.37300127e-03)
49              	(7.86442996e+01 5.76373555e-01 3.97838179e-02)	(5.81862706e+01 5.83840333e-01 4.22708523e-02)	(2.04580289e+01 -7.46677795e-03 -2.48703443e-03)
50              	(7.90713656e+01 5.64653971e-01 3.85203654e-02)	(5.87806072e+01 5.72794365e-01 4.11468823e-02)	(2.02907584e+01 -8.14039414e-03 -2.62651685e-03)
51              	(7.94410557e+01 5.36454482e-01 3.71074514e-02)	(5.93131862e+01 5.45564892e-01 3.99026392e-02)	(2.01278695e+01 -9.11041040e-03 -2.79518775e-03)
52              	(7.98476219e+01 5.00825470e-01 3.44939229e-02)	(5.98782675e+01 5.11184853e-01 3.74721672e-02)	(1.99693544e+01 -1.03593828e-02 -2.97824428e-03)
