# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(-7.60823482e-05 -5.53324611e-01 1.85677809e-01)	(-7.58198449e-05 -5.53231172e-01 1.85598588e-01)	(-2.62503327e-07 -9.34387230e-05 7.92206850e-05)
2               	(-3.81139853e-05 -6.25738099e-01 1.15569764e-01)	(-2.88488315e-05 -6.25376197e-01 1.17084082e-01)	(-9.26515381e-06 -3.61902189e-04 -1.51431794e-03)
3               	(8.21731013e-05 -1.14774045e-01 -2.75824641e-01)	(8.31404340e-05 -1.14823042e-01 -2.73477851e-01)	(-9.67332604e-07 4.89971061e-05 -2.34679075e-03)
4               	(1.46755402e-04 5.27740228e-01 -1.18564645e-01)	(1.39719290e-04 5.27518955e-01 -1.18832150e-01)	(7.03611158e-06 2.21272343e-04 2.67505366e-04)
5               	(6.72097552e-05 6.57647287e-01 8.26551458e-03)	(9.80724470e-05 6.59681867e-01 9.78261666e-03)	(-3.08626918e-05 -2.03457996e-03 -1.51710208e-03)
6               	(1.29457945e-04 4.57748962e-01 3.45446094e-01)	(1.32700794e-06 4.59494970e-01 3.42414833e-01)	(1.28130937e-04 -1.74600773e-03 3.03126103e-03)
7               	(2.72837502e-04 7.75405907e-02 6.70451721e-01)	(-7.54638923e-05 7.71695654e-02 6.70639905e-01)	(3.48301394e-04 3.71025332e-04 -1.88184215e-04)
8               	(2.77877724e-04 -1.41537590e-02 5.01486096e-02)	(-7.30311847e-05 -1.31801362e-02 4.93638719e-02)	(3.50908909e-04 -9.73622800e-04 7.84737736e-04)
9               	(2.46911441e-04 -3.23547470e-01 -6.05101478e-01)	(-2.30739714e-05 -3.22625894e-01 -6.02670048e-01)	(2.69985413e-04 -9.21575890e-04 -2.43143020e-03)
10              	(5.56493367e-04 -2.74003385e-01 -9.16338294e-01)	(4.03998080e-05 -2.74526791e-01 -9.10306808e-01)	(5.16093559e-04 5.23406472e-04 -6.03148588e-03)
11              	(5.53395527e-04 -2.49094718e-01 -3.49417987e-01)	(9.68253198e-05 -2.52461339e-01 -3.54340889e-01)	(4.56570207e-04 3.36662022e-03 4.92290188e-03)
12              	(4.16900924e-04 -3.25537088e-04 3.71579073e-01)	(1.31601868e-04 -1.54191332e-03 3.54921032e-01)	(2.85299056e-04 1.21637623e-03 1.66580408e-02)
13              	(4.19449302e-04 2.45709831e-01 8.00794354e-01)	(1.28892597e-04 2.51098463e-01 8.02855340e-01)	(2.90556706e-04 -5.38863172e-03 -2.06098567e-03)
14              	(4.26006643e-04 2.39996506e-01 6.74025311e-01)	(1.11996601e-04 2.45162132e-01 6.79488601e-01)	(3.14010042e-04 -5.16562634e-03 -5.46328985e-03)
15              	(4.58197885e-04 6.01545546e-03 3.07725146e-01)	(9.90671429e-05 1.28526771e-02 3.17363993e-01)	(3.59130742e-04 -6.83722167e-03 -9.63884713e-03)
16              	(3.48369391e-04 -1.96964746e-01 -3.41565826e-02)	(8.84610861e-05 -1.89103060e-01 -2.23924003e-02)	(2.59908305e-04 -7.86168624e-03 -1.17641824e-02)
17              	(2.43632174e-04 -2.37592833e-01 -6.17885298e-02)	(8.09565116e-05 -2.29870863e-01 -5.17235273e-02)	(1.62675662e-04 -7.72196956e-03 -1.00650024e-02)
18              	(1.55731912e-04 -1.75336665e-01 1.28221029e-01)	(7.63416150e-05 -1.67802280e-01 1.37537212e-01)	(7.93902970e-05 -7.53438470e-03 -9.31618325e-03)
19              	(5.75687230e-05 -6.07253888e-02 3.88917415e-01)	(7.34072108e-05 -5.35803887e-02 3.95470713e-01)	(-1.58384879e-05 -7.14500013e-03 -6.55329784e-03)
20              	(-2.91806543e-05 3.91882326e-02 4.91714130e-01)	(7.24185625e-05 4.63188556e-02 4.94898609e-01)	(-1.01599217e-04 -7.13062297e-03 -3.18447845e-03)
21              	(-1.18542663e-04 5.93811320e-02 3.42844118e-01)	(7.79479981e-05 6.67948339e-02 3.43888510e-01)	(-1.96490661e-04 -7.41370193e-03 -1.04439249e-03)
22              	(-1.91151922e-04 -6.89853261e-03 1.44510094e-01)	(8.83556240e-05 1.17266300e-03 1.44951309e-01)	(-2.79507546e-04 -8.07119562e-03 -4.41214287e-04)
23              	(-2.38292988e-04 -8.88721151e-02 7.41604873e-02)	(9.87734532e-05 -8.00517122e-02 7.46620750e-02)	(-3.37066441e-04 -8.82040288e-03 -5.01587694e-04)
24              	(-2.64126678e-04 -1.14225294e-01 1.68436527e-01)	(1.04814777e-04 -1.04564009e-01 1.68974447e-01)	(-3.68941455e-04 -9.66128454e-03 -5.37919514e-04)
25              	(-2.80878969e-04 -8.09836188e-02 3.39726633e-01)	(1.04763851e-04 -7.09624584e-02 3.39899747e-01)	(-3.85642820e-04 -1.00211604e-02 -1.73114717e-04)
26              	(-2.98803459e-04 -2.46589906e-02 4.31638496e-01)	(1.00405344e-04 -1.45023240e-02 4.30726374e-01)	(-3.99208802e-04 -1.01566665e-02 9.12121374e-04)
27              	(-3.09824489e-04 1.21635885e-02 3.75741284e-01)	(9.40996794e-05 2.22705615e-02 3.73174673e-01)	(-4.03924169e-04 -1.01069730e-02 2.56661124e-03)
28              	(-3.11935106e-04 6.67877224e-03 2.36298209e-01)	(8.87868610e-05 1.66644116e-02 2.31729241e-01)	(-4.00721967e-04 -9.98563937e-03 4.56896807e-03)
29              	(-3.04689045e-04 -2.50144047e-02 1.42872094e-01)	(8.58010588e-05 -1.51484784e-02 1.36081850e-01)	(-3.90490104e-04 -9.86592635e-03 6.79024375e-03)
30              	(-2.92963376e-04 -4.86196461e-02 1.77320332e-01)	(8.46931959e-05 -3.88294287e-02 1.68218352e-01)	(-3.77656571e-04 -9.79021737e-03 9.10198006e-03)
31              	(-2.84775983e-04 -3.58319357e-02 2.98441807e-01)	(8.56427148e-05 -2.61251778e-02 2.86938104e-01)	(-3.70418698e-04 -9.70675787e-03 1.15037035e-02)
32              	(-2.79177384e-04 6.06643866e-03 3.88476814e-01)	(8.78453979e-05 1.56253352e-02 3.74465205e-01)	(-3.67022781e-04 -9.55889649e-03 1.40116087e-02)
33              	(-2.68030379e-04 4.16787391e-02 3.65003413e-01)	(9.02491411e-05 5.10347802e-02 3.48437682e-01)	(-3.58279520e-04 -9.35604115e-03 1.65657318e-02)
34              	(-2.50359255e-04 5.22959449e-02 2.54913272e-01)	(9.14739103e-05 6.13962653e-02 2.35933925e-01)	(-3.41833166e-04 -9.10032034e-03 1.89793468e-02)
35              	(-2.20376815e-04 3.82647488e-02 1.31231472e-01)	(9.13658727e-05 4.70509710e-02 1.10257993e-01)	(-3.11742687e-04 -8.78622221e-03 2.09734789e-02)
36              	(-1.81126354e-04 1.80030931e-02 6.52525632e-02)	(8.99299151e-05 2.63900423e-02 4.29194205e-02)	(-2.71056269e-04 -8.38694920e-03 2.23331427e-02)
37              	(-1.36539807e-04 1.22044432e-02 6.27893086e-02)	(8.79223721e-05 2.01525222e-02 3.97892446e-02)	(-2.24462179e-04 -7.94807899e-03 2.30000640e-02)
38              	(-9.13307906e-05 2.77495530e-02 6.23401078e-02)	(8.62017346e-05 3.52394872e-02 3.93686923e-02)	(-1.77532525e-04 -7.48993418e-03 2.29714155e-02)
39              	(-4.69289063e-05 5.59199837e-02 -5.04361829e-04)	(8.50885239e-05 6.29532643e-02 -2.27846910e-02)	(-1.32017430e-04 -7.03328061e-03 2.22803292e-02)
40              	(-7.66911517e-06 8.02553669e-02 -1.37518781e-01)	(8.45794250e-05 8.68193904e-02 -1.58449567e-01)	(-9.22485402e-05 -6.56402349e-03 2.09307856e-02)
41              	(2.29700539e-05 8.96573645e-02 -3.13196616e-01)	(8.45062200e-05 9.57714547e-02 -3.32253106e-01)	(-6.15361661e-05 -6.11409026e-03 1.90564903e-02)
42              	(4.74280737e-05 8.83295088e-02 -4.74243031e-01)	(8.45977435e-05 9.39751386e-02 -4.91025806e-01)	(-3.71696699e-05 -5.64562981e-03 1.67827754e-02)
43              	(6.74377602e-05 8.72021258e-02 -5.87258908e-01)	(8.41294355e-05 9.24202760e-02 -6.01613156e-01)	(-1.66916753e-05 -5.21815022e-03 1.43542484e-02)
44              	(8.11043419e-05 9.35319497e-02 -6.58934143e-01)	(8.30802428e-05 9.83896918e-02 -6.70980631e-01)	(-1.97590091e-06 -4.85774207e-03 1.20464882e-02)
45              	(8.95873940e-05 1.07859989e-01 -7.18134885e-01)	(8.12833840e-05 1.12461965e-01 -7.28200397e-01)	(8.30400994e-06 -4.60197579e-03 1.00655117e-02)
46              	(9.98723842e-05 1.23806699e-01 -7.84500062e-01)	(7.88380291e-05 1.28237958e-01 -7.93026063e-01)	(2.10343551e-05 -4.43125911e-03 8.52600043e-03)
47              	(1.07951713e-04 1.33988783e-01 -8.54706274e-01)	(7.58257451e-05 1.38313652e-01 -8.62185251e-01)	(3.21259682e-05 -4.32486888e-03 7.47897788e-03)
48              	(1.15964278e-04 1.35354740e-01 -9.09879265e-01)	(7.26746321e-05 1.39641213e-01 -9.16820531e-01)	(4.32896463e-05 -4.28647277e-03 6.94126562e-03)
49              	(1.24092418e-04 1.31003919e-01 -9.34756185e-01)	(6.98188403e-05 1.35308667e-01 -9.41661307e-01)	(5.42735776e-05 -4.30474731e-03 6.90512233e-03)
50              	(1.32158441e-04 1.25609465e-01 -9.28387803e-01)	(6.77300471e-05 1.29992569e-01 -9.35756449e-01)	(6.44283941e-05 -4.38310329e-03 7.36864549e-03)
51              	(1.42934422e-04 1.24269819e-01 -9.00386805e-01)	(6.63173888e-05 1.28785136e-01 -9.08710699e-01)	(7.66170337e-05 -4.51531683e-03 8.32389419e-03)
52              	(1.55233381e-04 1.25783586e-01 -8.59076889e-01)	(6.54765247e-05 1.30495031e-01 -8.68834742e-01)	(8.97568566e-05 -4.71144449e-03 9.75785332e-03)
53              	(1.65298360e-04 1.26597147e-01 -8.07344856e-01)	(6.50190610e-05 1.31554328e-01 -8.18975495e-01)	(1.00279299e-04 -4.95718096e-03 1.16306390e-02)
54              	(1.76289905e-04 1.25093239e-01 -7.43660926e-01)	(6.46191637e-05 1.30334026e-01 -7.57548646e-01)	(1.11670741e-04 -5.24078670e-03 1.38877197e-02)
55              	(1.85737440e-04 1.21372070e-01 -6.65283993e-01)	(6.41976153e-05 1.26916390e-01 -6.81741845e-01)	(1.21539825e-04 -5.54432018e-03 1.64578514e-02)
56              	(1.92603711e-04 1.15101944e-01 -5.73048125e-01)	(6.37879646e-05 1.20982996e-01 -5.92347305e-01)	(1.28815747e-04 -5.88105230e-03 1.92991809e-02)
57              	(2.01897940e-04 1.05987246e-01 -4.70354688e-01)	(6.39010370e-05 1.12212078e-01 -4.92693058e-01)	(1.37996903e-04 -6.22483236e-03 2.23383701e-02)
58              	(2.12077530e-04 9.52190538e-02 -3.63564540e-01)	(6.44694433e-05 1.01802431e-01 -3.89072192e-01)	(1.47608086e-04 -6.58337702e-03 2.55076529e-02)
59              	(2.19052946e-04 8.63853521e-02 -2.59033276e-01)	(6.56631029e-05 9.33209164e-02 -2.87775305e-01)	(1.53389843e-04 -6.93556438e-03 2.87420286e-02)
60              	(2.27113379e-04 8.00509599e-02 -1.60512187e-01)	(6.73083976e-05 8.73120560e-02 -1.92473656e-01)	(1.59804982e-04 -7.26109607e-03 3.19614686e-02)
61              	(2.32645571e-04 6.94340730e-02 -6.73147731e-02)	(6.90430661e-05 7.69850077e-02 -1.02411202e-01)	(1.63602505e-04 -7.55093478e-03 3.50964291e-02)
62              	(2.38953305e-04 5.39292429e-02 2.02205221e-02)	(7.07017564e-05 6.17293678e-02 -1.78811226e-02)	(1.68251548e-04 -7.80012495e-03 3.81016448e-02)
63              	(2.41291627e-04 3.95195048e-02 9.62790416e-02)	(7.22099261e-05 4.75275489e-02 5.53459801e-02)	(1.69081701e-04 -8.00804416e-03 4.09330615e-02)
64              	(2.44995463e-04 2.35757172e-02 1.59771293e-01)	(7.37687567e-05 3.17371042e-02 1.16227445e-01)	(1.71226707e-04 -8.16138699e-03 4.35438475e-02)
65              	(2.47593795e-04 6.54927213e-03 2.09794463e-01)	(7.55680853e-05 1.48292261e-02 1.63862622e-01)	(1.72025710e-04 -8.27995401e-03 4.59318412e-02)
66              	(2.51001783e-04 -9.48119752e-03 2.43446529e-01)	(7.78112715e-05 -1.12129984e-03 1.95371993e-01)	(1.73190512e-04 -8.35989767e-03 4.80745361e-02)
67              	(2.56493415e-04 -2.36202462e-02 2.62046205e-01)	(8.04933686e-05 -1.52551445e-02 2.12092463e-01)	(1.76000046e-04 -8.36510173e-03 4.99537420e-02)
68              	(2.59597908e-04 -3.13261173e-02 2.64665370e-01)	(8.36045950e-05 -2.29904980e-02 2.13082828e-01)	(1.75993313e-04 -8.33561932e-03 5.15825416e-02)
69              	(2.65905926e-04 -3.46127471e-02 2.54557754e-01)	(8.62584566e-05 -2.63413570e-02 2.01596496e-01)	(1.79647469e-04 -8.27139005e-03 5.29612583e-02)
70              	(2.71601686e-04 -4.00766488e-02 2.36632888e-01)	(8.82855159e-05 -3.19171751e-02 1.82548156e-01)	(1.83316170e-04 -8.15947372e-03 5.40847316e-02)
71              	(2.72634401e-04 -4.79495602e-02 2.13063554e-01)	(8.98518983e-05 -3.99392513e-02 1.58088950e-01)	(1.82782503e-04 -8.01030893e-03 5.49746033e-02)
72              	(2.74196877e-04 -5.81470025e-02 1.85511788e-01)	(9.05553703e-05 -5.02986867e-02 1.29872220e-01)	(1.83641506e-04 -7.84831580e-03 5.56395680e-02)
73              	(2.73075806e-04 -6.54496374e-02 1.56656510e-01)	(9.05776622e-05 -5.77819675e-02 1.00565874e-01)	(1.82498144e-04 -7.66766991e-03 5.60906361e-02)
74              	(2.69939528e-04 -6.89486221e-02 1.27452572e-01)	(8.97529801e-05 -6.14662377e-02 7.11075943e-02)	(1.80186548e-04 -7.48238443e-03 5.63449773e-02)
75              	(2.65629897e-04 -6.84982681e-02 9.88160767e-02)	(8.86278213e-05 -6.11866725e-02 4.24085618e-02)	(1.77002076e-04 -7.31159558e-03 5.64075149e-02)
76              	(2.60698117e-04 -7.10245021e-02 7.47760713e-02)	(8.73738275e-05 -6.38692892e-02 1.84827985e-02)	(1.73324289e-04 -7.15521291e-03 5.62932728e-02)
77              	(2.57790697e-04 -7.84890920e-02 5.75749405e-02)	(8.60776805e-05 -7.14934649e-02 1.57480021e-03)	(1.71713016e-04 -6.99562705e-03 5.60001403e-02)
78              	(2.55289338e-04 -8.92267799e-02 4.64060652e-02)	(8.48487392e-05 -8.23758724e-02 -9.13054661e-03)	(1.70440599e-04 -6.85090747e-03 5.55366119e-02)
79              	(2.50376321e-04 -9.28650713e-02 3.15925196e-02)	(8.38089230e-05 -8.61593658e-02 -2.33125604e-02)	(1.66567398e-04 -6.70570544e-03 5.49050800e-02)
80              	(2.44653282e-04 -9.34598875e-02 1.67500991e-02)	(8.31968687e-05 -8.69002466e-02 -3.73595256e-02)	(1.61456413e-04 -6.55964089e-03 5.41096247e-02)
81              	(2.38271534e-04 -9.68272166e-02 8.07803465e-03)	(8.28578430e-05 -9.04152854e-02 -4.50799778e-02)	(1.55413691e-04 -6.41193120e-03 5.31580124e-02)
82              	(2.30412497e-04 -1.00300376e-01 3.98456555e-03)	(8.26990188e-05 -9.40389427e-02 -4.80744521e-02)	(1.47713478e-04 -6.26143328e-03 5.20590176e-02)
83              	(2.23079498e-04 -1.04154853e-01 1.54830645e-03)	(8.26009029e-05 -9.80620065e-02 -4.92698844e-02)	(1.40478595e-04 -6.09284605e-03 5.08181908e-02)
84              	(2.15474274e-04 -1.10061040e-01 9.66577080e-04)	(8.26912682e-05 -1.04168165e-01 -4.84605166e-02)	(1.32783006e-04 -5.89287551e-03 4.94270937e-02)
85              	(2.09519721e-04 -1.17322471e-01 8.17280451e-04)	(8.28917558e-05 -1.11672888e-01 -4.70772255e-02)	(1.26627966e-04 -5.64958311e-03 4.78945060e-02)
86              	(2.04221993e-04 -1.24995936e-01 6.62840525e-04)	(8.31657625e-05 -1.19630596e-01 -4.55658839e-02)	(1.21056230e-04 -5.36534030e-03 4.62287244e-02)
87              	(2.00377714e-04 -1.36958629e-01 4.36701141e-03)	(8.34979982e-05 -1.31936129e-01 -4.00820927e-02)	(1.16879716e-04 -5.02250043e-03 4.44491041e-02)
88              	(1.97106055e-04 -1.55749474e-01 1.56920408e-02)	(8.38765618e-05 -1.51135421e-01 -2.68616359e-02)	(1.13229494e-04 -4.61405295e-03 4.25536767e-02)
89              	(1.93475527e-04 -1.84699650e-01 3.53220217e-02)	(8.44404063e-05 -1.80565039e-01 -5.22349795e-03)	(1.09035120e-04 -4.13461088e-03 4.05455196e-02)
90              	(1.89697421e-04 -2.18254300e-01 5.76013259e-02)	(8.51769596e-05 -2.14649062e-01 1.91298422e-02)	(1.04520462e-04 -3.60523824e-03 3.84714837e-02)
91              	(1.86099884e-04 -2.46147845e-01 7.55426436e-02)	(8.59352864e-05 -2.43103023e-01 3.91906077e-02)	(1.00164597e-04 -3.04482160e-03 3.63520359e-02)
92              	(1.82004697e-04 -2.72126802e-01 9.11865096e-02)	(8.66389508e-05 -2.69644302e-01 5.69630447e-02)	(9.53657457e-05 -2.48250037e-03 3.42234649e-02)
93              	(1.77309391e-04 -2.97297614e-01 1.05706062e-01)	(8.73046644e-05 -2.95362621e-01 7.35891585e-02)	(9.00047268e-05 -1.93499247e-03 3.21169040e-02)
94              	(1.72244170e-04 -3.25252407e-01 1.23873860e-01)	(8.81344271e-05 -3.23827087e-01 9.38106721e-02)	(8.41097427e-05 -1.42532015e-03 3.00631881e-02)
95              	(1.69105597e-04 -3.57040280e-01 1.45222768e-01)	(8.91425715e-05 -3.56066892e-01 1.17155639e-01)	(7.99630253e-05 -9.73388269e-04 2.80671296e-02)
96              	(1.65482647e-04 -3.89795177e-01 1.68443189e-01)	(9.02958390e-05 -3.89183829e-01 1.42278417e-01)	(7.51868077e-05 -6.11347670e-04 2.61647720e-02)
97              	(1.62154434e-04 -4.18835687e-01 1.87817911e-01)	(9.15246562e-05 -4.18527237e-01 1.63464400e-01)	(7.06297774e-05 -3.08449387e-04 2.43535115e-02)
98              	(1.59311310e-04 -4.49872457e-01 2.07029948e-01)	(9.29021938e-05 -4.49822291e-01 1.84395156e-01)	(6.64091163e-05 -5.01658045e-05 2.26347920e-02)
99              	(1.59649429e-04 -4.84401264e-01 2.25500187e-01)	(9.43784340e-05 -4.84564243e-01 2.04490454e-01)	(6.52709947e-05 1.62979007e-04 2.10097329e-02)
100             	(1.59554287e-04 -5.16308046e-01 2.42246201e-01)	(9.59695290e-05 -5.16641400e-01 2.22760202e-01)	(6.35847581e-05 3.33353654e-04 1.94859989e-02)
101             	(1.60725497e-04 -5.45493469e-01 2.56241032e-01)	(9.74537380e-05 -5.45982978e-01 2.38203960e-01)	(6.32717588e-05 4.89508790e-04 1.80370718e-02)
102             	(1.63866034e-04 -5.78641084e-01 2.70128198e-01)	(9.87304902e-05 -5.79246480e-01 2.53447461e-01)	(6.51355436e-05 6.05395826e-04 1.66807377e-02)
103             	(1.64243594e-04 -6.10557949e-01 2.80961689e-01)	(9.99171476e-05 -6.11259938e-01 2.65550035e-01)	(6.43264464e-05 7.01989588e-04 1.54116545e-02)
104             	(1.66281973e-04 -6.46222931e-01 2.91942093e-01)	(1.00938798e-04 -6.47017759e-01 2.77721276e-01)	(6.53431757e-05 7.94827962e-04 1.42208172e-02)
105             	(1.70999055e-04 -6.85561866e-01 3.04611224e-01)	(1.01937889e-04 -6.86482230e-01 2.91523989e-01)	(6.90611659e-05 9.20363115e-04 1.30872349e-02)
106             	(1.74583551e-04 -7.26523103e-01 3.21128210e-01)	(1.02908881e-04 -7.27584802e-01 3.09108710e-01)	(7.16746705e-05 1.06169888e-03 1.20195004e-02)
